faculty_id,name,first_name,last_name,middle_names,other_name,degree,all_degrees_and_inst,all_degrees_only,research_areas,university_code,university,faculty,department,other_depts,primary_aff,membership,canada_research_chair,director,position,,full_time,adjunct,uni_email,other_email,uni_page,website,misc,twitter,phone,fax,gscholar,scopus,wos,orcid,researchgate,academicedu,linkedin
,Joan Eakin,Joan,Eakin,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Marie Eason Klatt,Marie,Eason Klatt,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Lecturer,,,,,,,,,,,,,,,,,,
,Richard Edwards,Richard,Edwards,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Sarah Edwards,Sarah,Edwards,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Gillian Einstein,Gillian,Einstein,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Morty Eisenberg,Morty,Eisenberg,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Sarah Elton,Sarah,Elton,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Lonnie Embleton,Lonnie,Embleton,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Michael Escobar,Michael,Escobar,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Osvaldo Espin-​Garcia,Osvaldo,Espin-​Garcia,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Gail Eyssen,Gail,Eyssen,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Shaza Fadel,Shaza,Fadel,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Kimberly Fairman,Kimberly,Fairman,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Daniel Felsky,Daniel,Felsky,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,JoAnne Fernandes,JoAnne,Fernandes,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Roberta Ferrence,Roberta,Ferrence,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Lorraine E Ferris,Lorraine,Ferris,E,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Dianne M Fierheller,Dianne,Fierheller,M,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Michael Finkelstein,Michael,Finkelstein,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,David N Fisman,David,Fisman,N,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Alanna Fitzgerald-​Husek,Alanna,Fitzgerald-​Husek,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Tiffany Fitzpatrick,Tiffany,Fitzpatrick,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Lisa Forman,Lisa,Forman,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Ann Fox,Ann,Fox,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,John Frank,John,Frank,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emeritus,,,,,,,,,,,,,,,,,,
,Risa Freeman,Risa,Freeman,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Susanna Fung,Susanna,Fung,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Mikaela Gabriel,Mikaela,Gabriel,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Michelle Gaffey,Michelle,Gaffey,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,France Gagnon,France,Gagnon,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Marilou Gagnon,Marilou,Gagnon,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Amy Gajaria,Amy,Gajaria,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Patrick Galange,Patrick,Galange,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Jason Garay,Jason,Garay,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Charles Gardner,Charles,Gardner,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Denise Gastaldo,Denise,Gastaldo,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Erjia Ge,Erjia,Ge,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Dionne Gesink,Dionne,Gesink,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Rebecca Gewurtz,Rebecca,Gewurtz,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Abbas Ghavam-​Rassoul,Abbas,Ghavam-​Rassoul,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Vasily Giannakeas,Vasily,Giannakeas,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Brian Gibson,Brian,Gibson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Jennifer Gibson,Jennifer,Gibson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Norman Giesbrecht,Norman,Giesbrecht,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Monique AM Gignac,Monique,Gignac,AM,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Julie Gilbert,Julie,Gilbert,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Julia Gill,Julia,Gill,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Thomas P Gilson,Thomas,Gilson,P,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Brenda Gladstone,Brenda,Gladstone,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Richard H Glazier,Richard,Glazier,H,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Susan Glover Takahashi,Susan,Glover Takahashi,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Vivek Goel,Vivek,Goel,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emeritus,,,,,,,,,,,,,,,,,,
,Daniel Goodley,Daniel,Goodley,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Michael Goodstadt,Michael,Goodstadt,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Charna Gord,Charna,Gord,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Richard Gould,Richard,Gould,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Effie Gournis,Effie,Gournis,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Stephanie Gower,Stephanie,Gower,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Daniel Grace,Daniel,Grace,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Eva Graham,Eva,Graham,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Kathryn Graham,Kathryn,Graham,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Melissa Graham,Melissa,Graham,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Sonia M Grandi,Sonia,Grandi,M,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Sue Greco,Sue,Greco,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Samantha Green,Samantha,Green,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Amy Greer,Amy,Greer,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ramandip Grewal,Ramandip,Grewal,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,N/A,,,,,,,,,,,,,,,,,,
,Jed Adam Gross,Jed,Gross,Adam,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Eva Grunfeld,Eva,Grunfeld,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Alind Gupta,Alind,Gupta,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Neeru Gupta,Neeru,Gupta,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Adrian Guta,Adrian,Guta,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Astrid Guttmann,Astrid,Guttmann,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Natalie Hamara,Natalie,Hamara,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Yani Hamdani,Yani,Hamdani,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Jemila Hamid,Jemila,Hamid,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Hayley Hamilton,Hayley,Hamilton,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Curtis Handford,Curtis,Handford,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Anthony Hanley,Anthony,Hanley,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Billie-​Jo Hardy,Billie-​Jo,Hardy,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Anne Harris,Anne,Harris,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Shelley A Harris,Shelley,Harris,A,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Trevor Hart,Trevor,Hart,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Bart Harvey,Bart,Harvey,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Monica Hau,Monica,Hau,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Anna Heath,Anna,Heath,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ann Heesters,Ann,Heesters,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Blair Henry,Blair,Henry,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,David Henry,David,Henry,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emeritus,,,,,,,,,,,,,,,,,,
,Vincent Hildebrand,Vincent,Hildebrand,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,N. Zoe Hilton,N.,Hilton,Zoe,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Cesar Hincapié,Cesar,Hincapié,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Linda Hiraki,Linda,Hiraki,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Sander Hitzig,Sander,Hitzig,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Erin Hobin,Erin,Hobin,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Candice Holmes,Candice,Holmes,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Dorothy Linn Holness,Dorothy,Holness,Linn,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Eric J Holowaty,Eric,Holowaty,J,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Jessica Hopkins,Jessica,Hopkins,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Roland Hosein,Roland,Hosein,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Benita Hosseini,Benita,Hosseini,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Ron House,Ron,House,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor Emeritus,,,,,,,,,,,,,,,,,,
,Gayane Hovhannisyan,Gayane,Hovhannisyan,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,John Hsieh,John,Hsieh,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emeritus,,,,,,,,,,,,,,,,,,
,Pingzhao Hu,Pingzhao,Hu,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Rayjean J Hung,Rayjean,Hung,J,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Cindy Hunt,Cindy,Hunt,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Winston Husbands,Winston,Husbands,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Stephen Wesley Hwang,Stephen,Hwang,Wesley,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Ilene Hyman,Ilene,Hyman,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Francisco Ibáñez-​Carrasco,Francisco,Ibáñez-​Carrasco,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Suzanne F Jackson,Suzanne,Jackson,F,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor Emerita,,,,,,,,,,,,,,,,,,
,Melanie Jeffrey,Melanie,Jeffrey,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Arif Jetha,Arif,Jetha,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Prabhat Jha,Prabhat,Jha,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Reuven Jhirad,Reuven,Jhirad,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Huan jiang,Huan,jiang,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Yaping Jin,Yaping,Jin,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ian Johnson,Ian,Johnson,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Jennie Johnstone,Jennie,Johnstone,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Jennifer Michelle Jones,Jennifer,Jones,Michelle,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Clara Juando-​Prats,Clara,Juando-​Prats,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Conrad Kabali,Conrad,Kabali,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Karl Kabasele,Karl,Kabasele,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Grazyna Kalabis,Grazyna,Kalabis,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Nanda Kishore Kannuri,Nanda,Kannuri,Kishore,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Fareen Karachiwalla,Fareen,Karachiwalla,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Mohammad Karamouzian,Mohammad,Karamouzian,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Merrijoy Kelner,Merrijoy,Kelner,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor Emerita,,,,,,,,,,,,,,,,,,
,Daniela J Kempkens,Daniela,Kempkens,J,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Charles DG Keown-​Stoneman,Charles,Keown-​Stoneman,DG,Charlie,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Kathleen Kerr,Kathleen,Kerr,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Lecturer,,,,,,,,,,,,,,,,,,
,Sareh Keshavarzi,Sareh,Keshavarzi,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Maya Kesler,Maya,Kesler,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Mohammad Kaviul Khan,Mohammad,Khan,Kaviul,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Lecturer,,,,,,,,,,,,,,,,,,
,Yasmin Khan,Yasmin,Khan,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Akwatu Khenti,Akwatu,Khenti,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ilona Kickbusch,Ilona,Kickbusch,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Michael Kidd,Michael,Kidd,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Jin Hee Kim,Jin,Kim,Hee,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Arlene Sharon King,Arlene,King,Sharon,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Emily King,Emily,King,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Tracy Kirkham,Tracy,Kirkham,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Victoria Kirsh,Victoria,Kirsh,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Maritt Kirst,Maritt,Kirst,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Julia Alexandra Knight,Julia,Knight,Alexandra,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Adjunct Professor,,,,,,,,,,,,,,,,,,
,Jillian Clare Kohler,Jillian,Kohler,Clare,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Ana Komparic,Ana,Komparic,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Anna Kone,Anna,Kone,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Jude Kong,Jude,Kong,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Pia Kontos,Pia,Kontos,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Agnieszka Kosny,Agnieszka,Kosny,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Joanne Kotsopoulos,Joanne,Kotsopoulos,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
,Catherine Kreatsoulas,Catherine,Kreatsoulas,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Abigail Kroch,Abigail,Kroch,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Assistant Professor,,,,,,,,,,,,,,,,,,
,Paul Krueger,Paul,Krueger,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Associate Professor,,,,,,,,,,,,,,,,,,
,Ayelet Kuper,Ayelet,Kuper,,,,,,,CA-ON-001,University of Toronto,Dalla Lana School of Public Health,,,,,,,Professor,,,,,,,,,,,,,,,,,,
